bar,flips,dflips,pass,mismatch,starved
1436,27680,7,1271,0,1326
1437,27722,42,1273,0,1329
1438,27743,21,1275,0,1330
1439,27792,49,1275,0,1337
1440,27813,21,1277,0,1338
1441,27869,56,1277,0,1346
1442,27883,14,1278,0,1347
1443,27939,56,1278,0,1355
1444,27953,14,1279,0,1356
1445,27967,14,1280,0,1357
1446,27974,7,1281,0,1357
1447,27981,7,1281,0,1358
1448,27995,14,1282,0,1358
1449,28009,14,1283,0,1358
1450,28023,14,1284,0,1358
1451,28044,21,1285,0,1359
1452,28051,7,1286,0,1359
1453,28086,35,1289,0,1359
1454,28100,14,1290,0,1360
1455,28156,56,1290,0,1368
1456,28177,21,1292,0,1369
1457,28219,42,1292,0,1375
1458,28240,21,1294,0,1376
1459,28296,56,1294,0,1384
1460,28310,14,1295,0,1385
1461,28366,56,1295,0,1393
1462,28387,21,1297,0,1394
1463,28443,56,1297,0,1402
1464,28457,14,1298,0,1403
1465,28513,56,1298,0,1411
1466,28527,14,1299,0,1412
1467,28583,56,1299,0,1420
1468,28604,21,1301,0,1421
1469,28660,56,1301,0,1429
1470,28674,14,1302,0,1430
1471,28730,56,1302,0,1438
1472,28751,21,1304,0,1439
1473,28800,49,1304,0,1446
1474,28821,21,1306,0,1447
1475,28877,56,1306,0,1455
1476,28891,14,1307,0,1456
1477,28898,7,1308,0,1456
1478,28940,42,1310,0,1459
1479,28961,21,1312,0,1460
1480,29010,49,1312,0,1467
1481,29031,21,1314,0,1468
1482,29087,56,1314,0,1476
1483,29101,14,1315,0,1477
1484,29157,56,1315,0,1485
1485,29171,14,1316,0,1486
1486,29185,14,1317,0,1487
1487,29227,42,1319,0,1491
1488,29248,21,1321,0,1492
1489,29304,56,1321,0,1500
1490,29318,14,1322,0,1501
1491,29374,56,1322,0,1509
1492,29395,21,1324,0,1510
1493,29437,42,1324,0,1516
1494,29458,21,1326,0,1517
1495,29521,63,1326,0,1526
1496,29542,21,1328,0,1527
1497,29584,42,1328,0,1533
1498,29605,21,1330,0,1534
1499,29654,49,1330,0,1541
1500,29668,14,1331,0,1542
1501,29682,14,1332,0,1543
1502,29689,7,1333,0,1543
1503,29731,42,1335,0,1546
1504,29745,14,1336,0,1547
1505,29801,56,1336,0,1555
1506,29822,21,1338,0,1556
1507,29878,56,1338,0,1564
1508,29892,14,1339,0,1565
1509,29948,56,1339,0,1573
1510,29969,21,1341,0,1574
1511,30018,49,1341,0,1581
1512,30039,21,1343,0,1582
1513,30081,42,1343,0,1588
1514,30095,14,1344,0,1589
1515,30109,14,1345,0,1590
1516,30116,7,1346,0,1590
1517,30158,42,1348,0,1593
1518,30172,14,1349,0,1594
1519,30228,56,1349,0,1602
1520,30249,21,1351,0,1603
1521,30305,56,1351,0,1611
1522,30319,14,1352,0,1612
1523,30375,56,1352,0,1620
1524,30396,21,1354,0,1621
1525,30445,49,1354,0,1628
1526,30466,21,1356,0,1629
1527,30522,56,1356,0,1637
1528,30536,14,1357,0,1638
1529,30592,56,1357,0,1646
1530,30613,21,1359,0,1647
1531,30655,42,1359,0,1653
1532,30676,21,1361,0,1654
1533,30739,63,1361,0,1663
1534,30753,14,1362,0,1664
1535,30802,49,1362,0,1671
1536,30823,21,1364,0,1672
1537,30872,49,1364,0,1679
1538,30886,14,1365,0,1680
1539,30900,14,1366,0,1681
1540,30907,7,1367,0,1681
1541,30914,7,1367,0,1682
1542,30949,35,1370,0,1682
1543,30963,14,1371,0,1683
1544,31019,56,1371,0,1691
1545,31033,14,1372,0,1692
1546,31047,14,1373,0,1693
1547,31054,7,1374,0,1693
1548,31061,7,1374,0,1694
1549,31075,14,1375,0,1694
1550,31089,14,1376,0,1694
1551,31103,14,1377,0,1694
1552,31124,21,1378,0,1695
1553,31166,42,1380,0,1699
1554,31187,21,1382,0,1700
1555,31236,49,1382,0,1707
1556,31250,14,1383,0,1708
1557,31299,49,1383,0,1715
1558,31320,21,1385,0,1716
1559,31327,7,1385,0,1717
1560,31334,7,1385,0,1718
1561,31355,21,1386,0,1718
1562,31383,28,1388,0,1718
1563,31397,14,1389,0,1719
1564,31446,49,1389,0,1726
1565,31467,21,1391,0,1727
1566,31523,56,1391,0,1735
1567,31537,14,1392,0,1736
1568,31593,56,1392,0,1744
1569,31614,21,1394,0,1745
1570,31663,49,1394,0,1752
1571,31684,21,1396,0,1753
1572,31740,56,1396,0,1761
1573,31754,14,1397,0,1762
1574,31810,56,1397,0,1770
1575,31831,21,1399,0,1771
1576,31873,42,1399,0,1777
1577,31894,21,1401,0,1778
1578,31957,63,1401,0,1787
1579,31971,14,1402,0,1788
1580,32020,49,1402,0,1795
1581,32041,21,1404,0,1796
1582,32090,49,1404,0,1803
1583,32111,21,1406,0,1804
1584,32167,56,1406,0,1812
1585,32181,14,1407,0,1813
1586,32237,56,1407,0,1821
1587,32258,21,1409,0,1822
1588,32314,56,1409,0,1830
1589,32328,14,1410,0,1831
1590,32384,56,1410,0,1839
1591,32405,21,1412,0,1840
1592,32454,49,1412,0,1847
1593,32475,21,1414,0,1848
1594,32517,42,1414,0,1854
1595,32538,21,1416,0,1855
1596,32545,7,1416,0,1856
1597,32559,14,1417,0,1856
1598,32566,7,1417,0,1857
1599,32601,35,1420,0,1857
1600,32615,14,1421,0,1858
1601,32664,49,1421,0,1865
1602,32685,21,1423,0,1866
1603,32741,56,1423,0,1874
1604,32755,14,1424,0,1875
1605,32811,56,1424,0,1883
1606,32832,21,1426,0,1884
1607,32881,49,1426,0,1891
1608,32902,21,1428,0,1892
1609,32958,56,1428,0,1900
1610,32972,14,1429,0,1901
